Date,zkSync Era (#),Arbitrum (#),OP Mainnet (#),Starknet (#),Base (#),Manta Pacific (#),Blast (#)
2021-05-29,,2.00,,,,,
2021-05-30,,5.00,,,,,
2021-05-31,,4.00,,,,,
2021-06-01,,5.00,,,,,
2021-06-02,,13.00,,,,,
2021-06-03,,8.00,,,,,
2021-06-04,,7.00,,,,,
2021-06-05,,6.00,,,,,
2021-06-06,,2.00,,,,,
2021-06-07,,18.00,,,,,
2021-06-08,,12.00,,,,,
2021-06-09,,15.00,,,,,
2021-06-10,,16.00,,,,,
2021-06-11,,12.00,,,,,
2021-06-12,,4.00,,,,,
2021-06-13,,7.00,,,,,
2021-06-14,,6.00,,,,,
2021-06-15,,16.00,,,,,
2021-06-16,,17.00,,,,,
2021-06-17,,17.00,,,,,
2021-06-18,,13.00,,,,,
2021-06-19,,4.00,,,,,
2021-06-20,,6.00,,,,,
2021-06-21,,9.00,,,,,
2021-06-22,,9.00,,,,,
2021-06-23,,16.00,,,,,
2021-06-24,,12.00,,,,,
2021-06-25,,15.00,,,,,
2021-06-26,,13.00,,,,,
2021-06-27,,6.00,,,,,
2021-06-28,,15.00,,,,,
2021-06-29,,15.00,,,,,
2021-06-30,,7.00,,,,,
2021-07-01,,14.00,,,,,
2021-07-02,,15.00,,,,,
2021-07-03,,9.00,,,,,
2021-07-04,,9.00,,,,,
2021-07-05,,13.00,,,,,
2021-07-06,,15.00,,,,,
2021-07-07,,12.00,,,,,
2021-07-08,,13.00,,,,,
2021-07-09,,15.00,,,,,
2021-07-10,,5.00,,,,,
2021-07-11,,6.00,,,,,
2021-07-12,,14.00,,,,,
2021-07-13,,26.00,,,,,
2021-07-14,,20.00,,,,,
2021-07-15,,22.00,,,,,
2021-07-16,,22.00,,,,,
2021-07-17,,14.00,,,,,
2021-07-18,,14.00,,,,,
2021-07-19,,21.00,,,,,
2021-07-20,,17.00,,,,,
2021-07-21,,19.00,,,,,
2021-07-22,,19.00,,,,,
2021-07-23,,17.00,,,,,
2021-07-24,,19.00,,,,,
2021-07-25,,15.00,,,,,
2021-07-26,,16.00,,,,,
2021-07-27,,20.00,,,,,
2021-07-28,,31.00,,,,,
2021-07-29,,22.00,,,,,
2021-07-30,,18.00,,,,,
2021-07-31,,19.00,,,,,
2021-08-01,,15.00,,,,,
2021-08-02,,21.00,,,,,
2021-08-03,,19.00,,,,,
2021-08-04,,18.00,,,,,
2021-08-05,,22.00,,,,,
2021-08-06,,23.00,,,,,
2021-08-07,,14.00,,,,,
2021-08-08,,14.00,,,,,
2021-08-09,,17.00,,,,,
