Date,dYdX ($),GMX ($),Deri Protocol ($),Synthetix ($),Vertex ($),Perpetual Protocol ($),Gains Network ($),Kwenta ($),MUX ($),ApolloX ($),Voltz ($),SynFutures ($),Level Finance ($),HMX ($),Holdstation ($),Pendle ($),Cap ($),Polynomial Protocol ($),IPOR Protocol ($),Mummy Finance ($)
11/3/2021,2689606288,34935076.25,,22372895.61,,102197683.4,13333392.79,,141940036.7,,,23891880.36,,,,,,,,
11/4/2021,2183723612,74487711.63,,7022706.55,,68506969.93,16628869.23,,86006124.08,,,38081892.58,,,,,,,,
11/5/2021,1927269602,24712288.86,,5470932.68,,53761329.45,7940439.83,,81235597.73,,,38880305.12,,,,,,,,
11/6/2021,1684775836,54776793.82,,25562.41,,45968140.26,13539307.43,,43430034.3,,,46992294.72,,,,,,,,
11/7/2021,1820975532,67703259.13,,2622934.87,,42736569.1,7735691.96,,47993853.85,,,44134811.17,,,,,,,,
11/8/2021,3340796536,87320452.92,,2563140.81,,50322400.65,12853992.45,,113693240.6,,,53280059.36,,,,,,,,
11/9/2021,3106452638,37971016.43,,4783260.38,,72865121.43,16233610.39,,83059925.41,,,42466267.44,,,,,,,,
11/10/2021,4828628593,63652262.64,,64630241.82,,104266357,21310120.74,,105711729.5,,,41020402.72,,,,,,,,
11/11/2021,2248972022,39080784.67,,27574000.4,,59355980.43,16365749,,70806567.19,,,48474114.39,,,,,,,,
11/12/2021,2915828201,108436678.6,,8901983.95,,84752228.07,12851575.76,,134003933.8,,,42378248.77,,,,,,,,
11/13/2021,1312155092,20845648.36,,12775769.1,,40682025.36,6469403.11,,41888521.85,,,42273049.69,,,,,,,,
11/14/2021,1501948844,33203081.37,,8069773.33,,32408651.87,6577603.66,,32292440.74,,,51557256.68,,,,,,,,
11/15/2021,2452776848,73333508.1,,4496600.89,,41951243.15,29688393.01,,101326930.8,,,46093026.21,,,,,,,,
11/16/2021,5107782954,129124162.7,,18470683.34,,124447503.3,24979897.9,,102779091.9,,,38631628.46,,,,,,,,
11/17/2021,3433795592,49866612.67,,38539703.32,,99211808.16,11844920.37,,40965481.43,,,41895787.94,,,,,8580.85,,,
11/18/2021,3537684960,75249995.49,,13344886.55,,122472801.7,19387358.11,,107507253.4,,,37475688.43,,,,,2793232.7,,,
11/19/2021,2167893967,27345048.39,,14644530.53,,84547597.87,13983328.19,,31917031.48,,,35361766.03,,,,,4279200.35,,,
11/20/2021,1556229558,40624760.49,,5261747.68,,52490362.15,12514860.6,,40301082.92,,,45825317.8,,,,,4302924.75,,,
11/21/2021,2028694368,25524574.22,,37049009.02,,43763908.6,8798270.55,,28322642.25,,,42614878.26,,,,,340701.89,,,
11/22/2021,5038459001,54473216.96,,52405016.61,,87602412.97,8932187,,29231987.9,,,49058585.82,,,,,2347178.35,,,
11/23/2021,7989673346,60703436.14,,17969232.12,,87156827.87,8323854.79,,28465646.73,,,48272914.02,,,,,3454587.23,,,
11/24/2021,2546240675,93648533.14,,13497316.4,,75597213.31,9746684.55,,30539498.97,,,62656817.36,,,,,2622344,,,
11/25/2021,2239777588,76731832.47,,32223964.33,,71824106.67,9604731.38,,24095387.15,,,76041827.48,,,,,5424735.61,,,
11/26/2021,4648657337,149201928.1,,5547083.79,,134424966.7,14059033.06,,34290316.28,,,57819959.4,,,,,7511531.52,,,
11/27/2021,1559156944,56784959.13,,3961916.35,,80994389.21,6427813.12,,21051892.39,,,40581038.33,,,,,10417807.54,,,
11/28/2021,2098930891,65984432.76,,8976028.28,,102529583.3,7617987.25,,20685911.04,,,53662675.55,,,,,8727261.91,,,
11/29/2021,1550113293,62174321.91,,14072312.5,,54159733.23,10132844.63,,17199119.85,,,55028419.5,,,,,5767903.66,,,
11/30/2021,3336737475,73624161.17,,6123371.85,,99932885.38,14343840.14,,27517345.75,,,35753838.15,,,,,19573791.3,,,
12/1/2021,2496760035,118724374.4,,15860201.23,,89773932.62,17347685.33,,23774694.33,,,28501414.62,,,,,5420577.4,,,
12/2/2021,2490628954,136522579.8,,4461611.97,,73132369.75,16380742.11,,20645753.76,,,63451544.09,,,,,5050814.04,,,
12/3/2021,3374613788,186053994.5,,21193895.36,,115816406.1,36085719.68,,28097463.18,,,62437700.97,,,,,5872328.45,,,
12/4/2021,4444799415,129416496,,9293133.63,,240101362.3,35769297.74,,39597461.12,,,85362082.45,,,,,15872686.7,,,
12/5/2021,1973116089,44893362.87,,6676603.08,,142391285.5,33379818.86,,25062160.53,,,68255573.42,,,,,17552446.12,,,
12/6/2021,2755947071,50212236.16,,25897817.36,,168759566.2,31487157.56,,36745430.51,,,71824058.71,,,,,11756440.28,,,
12/7/2021,931870619.9,35337371.84,,16016365.9,,101206322,33197604.37,,18957968.35,,,66833291.63,,,,,6064999.92,,,
12/8/2021,1196599771,63057832.61,,29313199.28,,117762171.5,15951414.96,,23759066.62,,,70344928.11,,,,,2747328.62,,,
12/9/2021,1699596974,58847600.81,,1987131.31,,130667904,34143985.7,,15692411.82,,,72686167.88,,,,,5838821.85,,,
12/10/2021,2010155329,67433716.12,,23196296.91,,121833796.1,36894250.9,,14671939.57,,,62836198.13,,,,,22547884.13,,,
12/11/2021,1378224722,38173180.02,,23205967.25,,84730883.87,19398526.88,,9450853.21,,,52126451.55,,,,,8013511.05,,,
12/12/2021,793709787.8,39673776.73,,6954124.11,,48157261.42,20123724.31,,8184973.94,,,57850457.26,,,,,2099774.32,,,
12/13/2021,2223244922,91901072.37,,30891728.99,,124354946.8,25294067.32,,10131638.89,,,76849035.36,,,,,20017664.71,,,
12/14/2021,1359077796,69287452.2,,33148836.97,,104641199.6,19527301.62,,6072455.38,,,83768972.54,,,,,11889160.08,,,
12/15/2021,2197768978,105266402.2,,3826494,,123544553.4,21817225.88,,7670039.17,,,53418157.27,,,,,8321253.51,,,
12/16/2021,1467154659,64460332.81,,4191888.56,,75439568.57,21304386.29,,1588116.64,,,72260357.32,,,,,3730174.62,,,
12/17/2021,2050435025,104022801,,18511984.61,,122036888.7,34574597.54,,2155400.79,,,52429015.18,,,,,23587344.33,,,
12/18/2021,1154899227,62967190.67,,5262461.16,,79398347.32,23325804.14,,4536442.52,,,57673304.83,,,,,10236072.1,,,
12/19/2021,1301062061,58753387.73,,5113546.61,,61141709.75,22431348.08,,2905943.35,,,45210628.76,,,,,6918446.79,,,
12/20/2021,2424484126,80063020.91,,6516923.32,,89608223.78,18276665.17,,1934743.17,,,70503997.62,,,,,29267178.52,,,
12/21/2021,1836086824,42948776.68,,4796385.95,,65955285.05,60381289.81,,1578498.71,,,79273876.8,,,,,14509483.26,,,
12/22/2021,1099574246,51508797.34,,2798700.96,,76499115.88,83271712.2,,1919379.46,,,66160706.94,,,,,13634016.92,,,
12/23/2021,1307595874,89858154.85,,7200820.89,,83962030.55,68206407.1,,1805532.04,,,70661220.49,,,,,32713827.7,,,
12/24/2021,1141550649,41563645.25,,8421074.3,,64594383.9,57480818.6,,1840465.57,,,58198933.4,,,,,2560421.77,,,
12/25/2021,959030977.8,18542435.42,,686051.11,,44141989.1,24159712.38,,611996.77,,,65466245.92,,,,,12041494.58,,,
12/26/2021,936981574.7,30801371.86,,6685415.55,,48948486.65,40461320.26,,2643432.7,,,55721095.42,,,,,2800971.31,,,
12/27/2021,1019759452,51430974.55,,3635069.27,,55646595.82,39021370.53,,1226340.06,,,60168039.07,,,,,1351836.37,,,
12/28/2021,1888282473,137343211.9,,3870988,,112255208.2,36083221.91,,1638137.28,,,73175431.29,,,,,10247563.77,,,
12/29/2021,1886816138,95868808.82,,6172164.88,,97000116.51,35361662.35,,2989912.37,,,55473950.81,,,,,8695460.83,,,
12/30/2021,1210603772,39174372.57,,24038572.08,,74515385.63,23517466.65,,4002321.22,,,47475882.08,,,,,8892565.73,,,
12/31/2021,1579569681,85557153.08,,4066139.71,,83278177.3,47965953.53,,4679641.44,,,31994001.45,,,,,8198700.3,,,
1/1/2022,1059236389,54393001.69,,1023769.91,,54642143.8,12157662.33,,1664933.21,,,28429830.14,,,,,5502722.14,,,
1/2/2022,1066307442,36223604.73,,339199.28,,54823829.37,32440814.49,,1660563.83,,,34069140.88,,,,,8819867.45,,,
1/3/2022,1048999081,142307945.2,,4972634.03,,84453374.47,49649132.74,,1932743.9,,,28706596.72,,,,,6740875.73,,,
1/4/2022,1423178153,162799839.7,,5480965.42,,84696905.96,26207762.62,,2190798.02,,,14914790.19,,,,,6260755.91,,,
1/5/2022,2240778250,296855345.1,,10481644.54,,147752303.7,22758050.81,,7462829.83,,,10404075.56,,,,,17939696.45,,,
1/6/2022,1821660212,174873172.9,429.97,28335100.55,,130580383.8,31480931.06,,1077084.41,,,21116057.68,,,,,17179277.68,,,
1/7/2022,2352058580,287131423.7,0,9281651.29,,193008031.3,59222168.95,,7389222.32,,,41490740.23,,,,,14411899.46,,,
1/8/2022,1339884563,206449954.5,0,5788278.25,,119142605.7,41047905.27,,4864341.46,,,43629859.22,,,,,12393325.77,,,
1/9/2022,950627027,132705777.6,0,3438595.87,,75941815.56,29241808.25,,1397009.99,,,31327801.86,,,,,3733817.21,,,
1/10/2022,1670743134,344873610.6,0,4364361.05,,132958047.4,56216373.43,,5436457.78,,,50349893.73,,,,,7440696.64,,,
1/11/2022,969292949.1,331389014.1,697.55,14720707.25,,73427613.04,81227671.6,,1304907.36,,,48855881.64,,,,,7397316.62,,,
1/12/2022,870636660.1,258370596.1,823754.16,11862807.54,,65722834.92,84979663.49,,1822407.89,,,43543950.04,,,,,8365759.56,,,
1/13/2022,1145116066,223225223,5451768.7,9333833.42,,90023815.84,89362131.18,,3406015.63,,,65335899.81,,,,,4363431.33,,,
1/14/2022,1013808209,236258676.1,644131.66,8368463.23,,79651091.82,128589765.7,,551636.53,,,43877174.33,,,,,5043026.17,,,
1/15/2022,466828353.4,228544419.8,181069.07,968195.74,,48020021.89,59441631.14,,799424.68,,,39816884.65,,,,,5115400.08,,,
1/16/2022,496147656.4,123826337.5,672519.64,1178458.11,,46519392.31,45125189.38,,790776.62,,,33578612.18,,,,,6701016.8,,,
1/17/2022,1956711668,406256600.1,105663710.4,19490812.78,,68231411.31,108665611.2,,1679801.28,,,47759798.27,,,,,8130821.61,,,
1/18/2022,3830919575,355802641.4,38484876.06,5079716.29,,86767251.65,107545943.3,,626669.21,,,53682079.59,,,,,9548439.2,,,
1/19/2022,1443520133,201545841.8,38789852.93,2371999.92,,92908648.55,147979321,,607025,,,29210270.61,,,,,6268799.65,,,
1/20/2022,1593723265,315361989.3,76422265.87,5239923.72,,101271992.3,114874558.7,,966397.66,,,45022578.8,,,,,7149303.13,,,
1/21/2022,4623228318,679267308.9,73615292.14,39655949.36,,336082728.2,65958413.17,,3692687.97,,,35518916.49,,,,,24475332.04,,,
1/22/2022,3811227744,472761301,97560788.8,10615280.33,,535226574.8,90109488.04,,4649406.81,,,45741583.43,,,,,44484890.39,,,
1/23/2022,1871262937,253494047.4,101592294.3,5846306.08,,252627876.9,69178078.93,,1128604.33,,,47390691.45,,,,,20615783.26,,,
1/24/2022,3314240150,538929017.5,50995485.8,17751742.63,,357527266.8,149568508.7,,3607616.41,,,55859686.15,,,,,33778593.81,,,
1/25/2022,1413917981,391494280.8,100692070.9,2681489.88,,160463376.2,48328178.67,,2614919.15,,,43308442.74,,,,,23203348.92,,,
1/26/2022,2244481567,361585765,58601976.78,33097335.57,,195790644.8,102362847.4,,6008904.04,,,28548932.19,,,,,17919569.28,,,
1/27/2022,1924037334,190403579.4,93908701.89,11895235.8,,173062894,42479500.36,,1186233.49,,,28553057.89,,,,,14915212.68,,,
1/28/2022,1324991341,206073278.3,43407284.67,27752330.91,,162077620.2,58648686.57,,3185416.41,,,30283808.15,,,,,12103773.11,,,
1/29/2022,931642207,167406660.5,46938153.69,33526052.88,,88517885.84,77065229.95,,1519405.2,,,40226514.12,,,,,7996936.84,,,
1/30/2022,664234413.8,83911370.35,57024262.55,2787832.49,,81221732.97,38564843.17,,436809.52,,,39140062.37,,,,,4534298.8,,,
1/31/2022,1164321741,211209712.5,40133208.92,43957528.14,,112061000,135565724,,949211.07,,,37076451.29,,,,,10936139.46,,,
2/1/2022,1116945800,282914615.7,19525613.97,28966193.84,,117286897.3,129071443.9,,1111966.94,,,33688174.57,,,,,17504402.1,,,
2/2/2022,1245353031,310767220,58456907.19,7203803.75,,112893710,96368233.96,,702149.41,,,42978349.79,,,,,10516889.79,,,
2/3/2022,1113378564,125962088.4,36926877.86,5607023.93,,107575660.4,151113404.8,,1663458.6,,,43945438.13,,,,,12659920.51,,,
2/4/2022,1665488619,249020268.8,37462548.74,22606021.42,,106677956.2,107445162.5,,1641896.51,,,44942379.86,,,,,16492066.02,,,
2/5/2022,1094298613,204429980.3,42179771.84,12434179.11,,90144719.87,84663563.13,,536282.26,,,40000541.4,,,,,30548190.22,,,
2/6/2022,833561952,85272365.08,42047718.82,5287072.06,,69839436.59,73204892.53,,1442342.88,,,29079176.86,,,,,9448820.02,,,
2/7/2022,1838487804,361113572.7,45924943.73,30775362.78,,102381799.2,79850550.12,,4580441.44,,,35692248.22,,,,,22744119.97,,,
2/8/2022,2760009385,226160645.8,97521619.72,12011340.6,,140952809.7,59891146.91,,903863.54,,,44251013.77,,,,,9651754.81,,,
2/9/2022,2005526438,143434578.4,73438968.16,10815909.68,,77189888.73,64802557.59,,621747.55,,,38260386.54,,,,,8868772.46,,,
2/10/2022,3229930328,337585115.4,71607523.57,13924264.8,,130337401.4,114359311.3,,1247957.1,,,40058491.04,,,,,49098.84,,,
2/11/2022,3798217714,313388434.8,77653284.4,23311625.46,,131782351.2,49363104.3,,1501168.85,,,45381648.38,,,,,354911.26,,,
2/12/2022,2360435493,174771718.8,69408668.82,20844175.05,,100004086.2,31994137.75,,980197.95,,,31830893.06,,,,,0,,,
2/13/2022,3137786512,159224979,71348356.83,2558985.94,,70103845.31,41473275.16,,223879.09,,,33892247.19,,,,,2881.31,,,
2/14/2022,4987277716,140213514,63768273.23,11795995.89,,87838578.21,53175290.01,,354068.32,,,37014150.08,,,,,2928.71,,,
2/15/2022,15033596269,87465179.04,72870903.38,23475175.1,,81083502.29,62964572.69,,984149.35,,,31464219.62,,,,,1909.16,,,
2/16/2022,1712880042,115474310.2,73429329.1,8364529.73,,94182556.78,60435756.93,,206351.64,,,37567221.81,,,,,603376.19,,,
2/17/2022,2659668318,41992676.26,73784287.8,13715068.34,,140457941.1,50739630.6,,2394422.54,,,30507796.2,,,,,17339.79,,,
2/18/2022,2095836533,27009936.98,75219497.43,20120109.31,,118664730.7,40988691.64,,2217075.13,,,38635599.94,,,,,627.86,,,
2/19/2022,1036302891,59201145.57,64612561.74,6797145.97,,72331198.32,17096769.02,,538629.18,,,40340768.83,,,,,0,,,
2/20/2022,1537359637,136428764.2,65062265.81,3463777.77,,118189647.7,19569404.74,,796430.64,,,31833878.75,,,,,941925.96,,,
2/21/2022,2842590027,167886152.4,68180027.94,2576558.66,,212101952.8,46030376.94,,1926098.68,,,42360900.79,,,,,13608338.19,,,
2/22/2022,2311617292,221275698.9,60052903,5491632.38,,177324311.3,42453465.34,,328476.08,,,42290185.21,,,,,12593996.61,,,
2/23/2022,1643253591,141567563.6,63061843.97,9445402.15,,140655162.2,38172761.9,,23660.63,,,35742421.71,,,,,5222393.93,,,
2/24/2022,3760866321,762471784.4,67075147.18,11862078.36,,393075836.4,104626800.9,,1206934.49,,,29080650.95,,,,,73215346.83,,,
2/25/2022,2024970210,282602012.5,63923982.43,26586274.11,,206370207.4,201514225.5,,14263.98,,,35247612.52,,,,,52357908.83,,,
2/26/2022,1246761038,233384717.2,63903681.75,3387874.29,,159949733.4,26303219.65,,182596.2,,,20506629.64,,,,,7792146.14,,,
2/27/2022,1810276821,299038916.5,72270933.13,7604419.89,,176447094.4,31608853.69,,171238.97,,,34711345.2,,,,,13893430.54,,,
2/28/2022,2362060366,390776302.6,106107153.5,17261320.9,,210638422.6,94629025.59,,765219.66,,,30598625.75,,,,,19365012.8,,,
3/1/2022,2210426895,301627559.8,75886744.44,5301478.83,,159546339.8,26879259.97,,715940.22,,,39759955.48,,,,,27664018.84,,,
3/2/2022,1485199418,400124439,74562984.78,7276298.46,,147503172.4,23587086.61,,135654.99,,,27316603.65,,,,,14972962.32,,,
3/3/2022,1313921455,480249192.6,71244220.16,852317.24,,95830032.98,92621834.37,,200218.18,,,47849270.1,,,,,6400837.92,,,
3/4/2022,1596788036,316101876.3,75657205.26,66048116.68,,119478444.5,317470362.5,,49285.66,,,33353990.23,,,,,9412884.78,,,
3/5/2022,828990611.8,91543065.66,65667819.67,7973800.42,,62745263.03,160532798.9,,1288.13,,,20500834.32,,,,,4764308.64,,,
3/6/2022,937129243.7,428387758,61841143.54,7561794.13,,82175236.42,114257391.5,,264170.31,,,47671878.85,,,,,7081419.3,,,
3/7/2022,1695627086,324707167.8,68541804,9956394.19,,116396534.4,78711552.49,,1088563.66,,,28168639.42,,,,,20911983.23,,,
3/8/2022,2050341518,247462345.2,63542815.56,12415554.57,,113793385.1,28079485.5,,957178.82,,,31640020.32,,,,,16608124.66,,,
3/9/2022,2025637496,260632303.2,69482212.39,9639827.53,,100533760,96255219.85,,1398512.49,,,35341584.2,,,,,10333271.64,,,
3/10/2022,2765680174,350673751.1,64965766.45,13963770.88,,117363530.4,183567787.1,,310868.42,,,19502932.6,,,,,7832033.5,,,
3/11/2022,3625465451,297750211.6,70451810.79,8592414.38,,101652941.1,22789128.59,,271182.37,,,27083845.63,,,,,6767856.2,,,
3/12/2022,1908911663,52655424.07,63481662.17,558994.19,,44007031.66,18669339.72,,38754.11,,,33985155.08,,,,,1393160.54,,,
3/13/2022,3382178839,72638836.1,64088819.79,2188524.23,,54255373.11,31425354.94,,230634.74,,,26027391.15,,,,,3373099.33,,,
3/14/2022,5968697883,101447219.4,70860222.47,9590914.77,,71520589.79,51282890.11,,109286.52,,,18749209.77,,,,,9574617.54,,,
3/15/2022,7170659371,67127002.14,63198890.32,4868635.33,,74234177.58,75706727.76,,27206.25,,,14130158.4,,,,,6411401.15,,,
3/16/2022,3068528006,231132395.1,65039340.84,9650567.35,,134758779.2,146352081.8,,1157818.04,,,26747945.76,,,,,15018408.32,,,
3/17/2022,1321910149,117301728.5,74893917.53,6118119.42,,74788967.74,150480026.4,,300691.28,,,23236282.6,,,,,13276887,,,
3/18/2022,1859204762,229042666.4,68678413.22,14624110.7,,79606621.9,109976375.5,,166615.87,,,31926876.54,,,,,28993684.82,,,
3/19/2022,912927740.3,120729081.6,67728212.42,2644871.5,,68516172.43,83378569.17,,8997.34,,,24195736.92,,,,,6305183.52,,,
3/20/2022,978345387.1,75865692.89,73408915.59,7019840.36,,67459727.67,147938788.9,,397506.33,,,27682029.68,,,,,7140199.83,,,
3/21/2022,1664689774,132986369.7,68497318.46,19625908.2,,75098887.64,81245197.67,,163922.78,,,37768387.91,,,,,3720885.73,,,
3/22/2022,1604652016,484755684.4,70641493.79,10107257.2,,77137942.05,234636153.8,,920477.74,,,29360356.19,,,,,8766551.53,,,
3/23/2022,1163808834,168014943.8,76076356.5,15815810.61,,95432459.6,120104904.5,,13082.93,,,28795370.83,,,,,9523521.55,,,
3/24/2022,1489432906,204660976.2,72664470.87,10908224.81,,115818654.5,120186570.5,,124807.4,,,31312115.66,,,,,9921483.65,,,
3/25/2022,1393389681,192874564.3,74216649.56,26242467.37,,111628069,195292882.3,,69903.83,,,20746058.09,,,,,12425005.54,,,
3/26/2022,582011016.1,102477159.5,77442087.92,55867748.67,,66591599.3,56810006.39,,9426.03,,,17254859.19,,,,,3910490.55,,,
3/27/2022,1020521139,211213200.3,75685718.35,61891537.33,,85933787.25,131678189.6,,265660.08,,,23632333.07,,,,,4122765.77,,,
3/28/2022,1780490744,189099099,79867789.72,109595130.1,,139561349.2,177451676.7,,69523.83,,,32048784.15,,,,,25267317.51,,,
3/29/2022,1801642182,207416732.3,83616334.81,17251227.77,,186755402.4,83352176.1,,11587.35,,,28975589.61,,,,,25159831.04,,,
3/30/2022,1751033232,169446998.1,79169379.29,15380423,,200503349,61255308.41,,2836.08,,,26581430.31,,,,,19216212.36,,,
3/31/2022,1963878439,210801806.9,81559109.57,11627790.09,,213864105.3,134998112.8,,21349.07,,,22829989.54,,,,,15786210.89,,,
4/1/2022,2042720243,317736943.2,81292365.18,34253735.13,,208452028.8,120033594.2,,25090.64,,,32927459.77,,,,,22060562,,,
4/2/2022,1719147025,337260457.8,83162248.27,19274811.43,,201856761.3,73371203.04,,3635.1,,,28706077.26,,,,,7808357.07,,,
4/3/2022,1373018790,205985144.1,83103528.48,6875414.1,,149733207.2,76063178.27,,4598.94,,,20715052.11,,,,,10445429.59,,,
4/4/2022,2158005392,433471164.9,73305023.26,15182738.09,,161110430.9,127491374.6,,807.39,,,21783308.21,,,,,14498999.67,,,
4/5/2022,2899925350,207586156,82667248.39,12747535.65,,141372579.8,138839712.1,,4968.95,,,28087258.38,,,,,11725913.83,,,
4/6/2022,3268586253,281553594.9,76064275.81,17376491.07,,282083249.5,79238681.2,,42209.69,,,33015085.69,,,,,16328541.57,,,
4/7/2022,2364082975,251062173.6,72432731.92,11025874.63,,177913026.5,66015037.3,,48229.65,,,36179817.79,,,,,8092301.96,,,
4/8/2022,4055307213,307779754.5,86324496.04,60650642.39,,174360145.4,72536610.31,,12496.41,,,32695214.72,,,,,3239056.93,,,
4/9/2022,2379685495,226405280.5,75033128.79,2032695.35,,105153123.2,43916471.23,,1680.19,,,27986974.67,,,,,1257619.36,,,
4/10/2022,1668794253,325663643.9,74169568.46,34343447.3,,91198284.06,32975906.65,,1132.62,,,34592664.82,,,,,3792974.25,,,
4/11/2022,4506672655,403031046.2,75095927.22,118494372.3,,163183584.7,139839361.1,,37033.31,,,26517525.35,,,,,15072625.85,,,
4/12/2022,9066995590,234101063.1,70653647.54,42379798.37,,134646204.1,100898275.7,,87792,,,27010017.29,,,,,12029811.17,,,
4/13/2022,2078596399,194742913.5,72497300.87,31674062.04,,115632937.1,68209590.61,,70374.19,,,34545847.97,,,,,10003995.78,,,
4/14/2022,1499611882,250076691.1,70783874.68,53983603.59,,103207430.6,59381825.84,,43456.21,,,25958199.04,,,,,4517274.28,,,
4/15/2022,1209035654,93724314.36,66507150.1,16840500.98,,85932946.85,26262975.83,,1402.19,,,26650530.23,,,,,3893875.49,,,
4/16/2022,844101088,59194548.9,72301305.54,3652284.49,,53880444.66,42872703.75,,7304.01,,,37930935.5,,,,,3052272.38,,,
4/17/2022,1028365550,58904359.82,74515207.93,5148216.9,,73084259.61,23241310.84,,3370.76,,,32604309.98,,,,,4262888.98,,,
4/18/2022,2112948989,235750777.9,65174057.11,40856411.64,,111990101.5,30544479.24,,12368.34,,,44639785.59,,,,,10046898.12,,,
4/19/2022,1139089703,98500471.79,67896668.85,13820102.46,,104375248.7,62695344.26,,5418.77,,,32173327.03,,,,,7201653.83,,,
4/20/2022,904070527.9,69944042.66,75984763.93,133293496.7,,123433990.3,46895054.78,,49.36,,,53033689.68,,,,,8078257.25,,,
4/21/2022,956961207.3,172695940.9,71481067.52,73365808.3,,133481676.4,58001392.09,,4234.26,,,43656357.27,,,,,9148253.09,,,
4/22/2022,702935937.8,53536787.29,67268160.79,12169024.09,,129916993.8,52757361.56,,3111.81,,,70999409.72,,,,,5711956.97,,,
4/23/2022,339550250,53760028.22,68423406.96,4756608.49,,93573069.96,24461229.27,,295.67,,,71619028.43,,,,,1799044.43,,,
4/24/2022,427968651.8,38994143.99,69703326.9,45730640.52,,84882717.82,29142477.6,,7010.19,,,64408116.39,,,,,3390050.47,,,
4/25/2022,1175434617,159267490,59210304.14,61030538.32,,128621381.9,80301974.36,,5208.66,,,58219780.37,,,,,12621377.71,,,
4/26/2022,1087372266,117089675.5,71969131.68,11558440.45,,133073920.2,50121994.17,,2882.91,,,79377961.01,,,,,11189495.35,,,
4/27/2022,797486778.1,138108996.7,65171466.74,5455456.4,,117098148.6,41097102.75,,6960.81,,,55149251.38,,,,,11313490.96,,,
4/28/2022,993943258.9,128314339.6,68773519.22,52112758.59,,121301798.4,58943164.94,6741.22,2917.92,,,69564277.36,,,,,12013082.29,,,
4/29/2022,802684248.9,81291518.09,72202621.25,50312033.54,,112019912.9,69309259.8,2754568.22,14149.38,,,62967929.17,,,,,8975720.21,,,
4/30/2022,614432078.9,104405989.5,68263886.91,5225163.17,,112349308.5,141431468,1867219.37,1993.59,,,47949661.64,,,,,9908077.69,,,
5/1/2022,662660986,176200064.9,66184882.01,11666070.71,,102621683,116785683.8,1117161.39,1049.95,,,39645310.56,,,,,5847432.51,,,
5/2/2022,674815978.2,210939925.9,65773785.52,7608624.95,,115943664.4,119718206.3,933353.1,2645.64,,,61636803.14,,,,,6146767.46,,,
5/3/2022,508120537.7,92486902.03,70938104.61,5115599.54,,91109990.32,88448571.81,560221.53,8914.5,,,38226952.62,,,,,7352154.12,,,
5/4/2022,748337935.3,173746026.9,65554914.33,13122907.12,,121903704.4,151084902.2,870768.17,3598.45,,,58097481.51,,,,,9976131.62,,,
5/5/2022,1244609837,193648869.5,61795688.62,10945299.44,,152633749,97689726.28,1591977.06,221655.95,,,52522937.34,,,,,14216201.69,,,
5/6/2022,941546325.3,109483731.8,64991363.13,9295766.37,,128450998.8,49380411.92,1429515.51,30056.34,,,56679531.96,,,,,11495906.57,,,
5/7/2022,554084539,108076849.7,61570478.32,2175686.74,,89167798.92,43965026.71,653051.05,4476.51,,,71123592.01,,,,,2100034.71,,,
5/8/2022,1081896244,305466339.1,40311912.96,14641069.9,,114073714.2,59341836.13,1722834.98,73590.54,,,43199783.9,,,,,5656654.61,,,
5/9/2022,3499939198,557336414.2,56586139.64,61979532.46,,229497928.7,142125170.7,1141329.1,556234.64,,,35754905.98,,,,,23312629.82,,,
5/10/2022,2930276100,540962992.8,54497801.32,23988738.56,,287144909.9,151204424.9,1485651.84,705552.39,,,63493148.93,,,,,48674510.99,,,
5/11/2022,4418190661,776658512.8,59919580.2,17619264.3,,544762567.4,178967523.1,2416798.28,961198.91,,,57304501.53,,,,,50018047.9,,,
5/12/2022,3646068754,548310292.3,55483780.17,77770287.12,,371639175.9,126275094.9,1953275.06,22304.7,,,56316639.43,,,,,25497870.22,,,
5/13/2022,1258369459,140662016.5,29501261.11,12841334.87,,168571942.5,12190972.8,1229053.54,18643.94,,,52291607.26,,,,,23159331.6,,,
5/14/2022,649080196,59948085.08,33362210.58,1458139.82,,67004893.68,17677064.06,674209.09,33480.28,,,48138754.52,,,,,3346346.67,,,
5/15/2022,572837187.7,67278142.5,13214.48,14511881.91,,42075497.83,58065182.75,513948,39457.63,,,76385589.46,,,,,4310375.25,,,
5/16/2022,1090280786,166719255.7,50421948,18912172.51,,58785972.9,61677928.61,593690.17,8263.72,,,71652925.88,,,,,8151178.62,,,
5/17/2022,879727416,139888951.5,55051025.59,7499942.29,,28452090.79,46883338.87,238449.94,3995.43,,,60495050.1,,,,,6881134.32,,,
5/18/2022,1044338599,148731566.6,51637729.36,9306312.95,,30520052.77,61559780.39,815627.84,770.23,,,56895061.18,,,,,4555838.9,,,
5/19/2022,951571975.3,153110617.9,55900544.62,15604115.85,,34271529.72,23668969.67,1562905.85,12248.38,,,63222604.1,,,,,10094728.32,,,
5/20/2022,808495277.2,135936511.8,47957084.78,7324903.16,,31630114.21,52851333.08,1874788.55,13460.37,,,66163383.8,,,,,7769989.11,,,
5/21/2022,354315083.6,41475914.63,76757089.53,2317447.17,,21615233.84,7654285.1,391410.17,0,,,75119723.66,,,,,1799933.58,,,
5/22/2022,433573986.6,80199211.08,46671670.95,4345189.12,,20069993.31,31499986.13,713241.62,2819.41,,,57000165.65,,,,,4988354.45,,,
